bed.block.order,bed.order,AB.CD.order,column.order,Pop.Type,status,block,loc,bed,bedrow,bedcol,pop,mf,rep,unique.ID
1,1,1,1,2023-TM2-fruit,2023-TM2-fruit,NA,A_1_A,A,1,A,TM2,6,11,TM2_6_11
22,12,1,1,2023-survivor,2023-survivor,NA,A_6_B,A,6,B,CC,3,3,CC_3_3
62,32,1,1,2023-survivor,2023-survivor,NA,A_16_B,A,16,B,BH,3,3,BH_3_3
65,33,1,1,2023-survivor,2023-survivor,NA,A_17_A,A,17,A,BH,7,3,BH_7_3
69,35,1,1,2023-survivor,2023-survivor,NA,A_18_A,A,18,A,BH,4,3,BH_4_3
93,47,1,1,2023-survivor,2023-survivor,NA,A_24_A,A,24,A,WL2,7,9,WL2_7_9
126,64,1,1,2023-survivor,2023-survivor,NA,A_32_B,A,32,B,IH,7,4,IH_7_4
137,69,1,1,2023-survivor,2023-survivor,NA,A_35_A,A,35,A,SC,8,4,SC_8_4
141,71,1,1,2023-survivor,2023-survivor,NA,A_36_A,A,36,A,BH,3,4,BH_3_4
154,78,1,1,2023-survivor,2023-survivor,NA,A_39_B,A,39,B,WL2,7,10,WL2_7_10
169,85,1,1,2023-TM2-fruit,2023-TM2-fruit,NA,A_43_A,A,43,A,TM2,6,1,TM2_6_1
178,90,1,1,2023-survivor,2023-survivor,NA,A_45_B,A,45,B,IH,2,4,IH_2_4
190,96,1,1,2023-survivor,2023-survivor,NA,A_49_A,A,49,A,YO7,7,23,YO7_7_23
206,104,1,1,2023-survivor,2023-survivor,NA,A_53_A,A,53,A,CC,4,4,CC_4_4
213,107,1,1,2023-survivor,2023-survivor,NA,A_53_B,A,53,B,BH,7,4,BH_7_4
225,113,1,1,2023-TM2-fruit,2023-TM2-fruit,NA,A_56_B,A,56,B,TM2,2,12,TM2_2_12
55,147,2,2,2023-survivor,2023-survivor,NA,A_14_D,A,14,D,CC,8,3,CC_8_3
56,148,2,2,2023-survivor,2023-survivor,NA,A_15_C,A,15,C,CC,1,3,CC_1_3
67,153,2,2,2023-survivor,2023-survivor,NA,A_17_D,A,17,D,BH,2,3,BH_2_3
87,163,2,2,2023-survivor,2023-survivor,NA,A_22_D,A,22,D,SC,8,3,SC_8_3
91,165,2,2,2023-TM2-fruit,2023-TM2-fruit,NA,A_23_D,A,23,D,TM2,3,3,TM2_3_3
140,190,2,2,2023-survivor,2023-survivor,NA,A_36_C,A,36,C,SC,2,4,SC_2_4
172,206,2,2,2023-TM2-fruit,2023-TM2-fruit,NA,A_44_C,A,44,C,TM2,6,3,TM2_6_3
179,209,2,2,2023-survivor,2023-survivor,NA,A_45_D,A,45,D,SC,4,4,SC_4_4
184,212,2,2,2023-survivor,2023-survivor,NA,A_46_D,A,46,D,SQ1,5,10,SQ1_5_10
200,220,2,2,2023-survivor,2023-survivor,NA,A_50_D,A,50,D,IH,6,4,IH_6_4
219,229,2,2,2023-survivor,2023-survivor,NA,A_56_C,A,56,C,IH,1,4,IH_1_4
232,236,2,2,2023-survivor,2023-survivor,NA,A_58_D,A,58,D,YO7,7,13,YO7_7_13
322,281,3,1,2023-survivor,2023-survivor,NA,B_22_A,B,22,A,IH,3,5,IH_3_5
334,287,3,1,2023-survivor,2023-survivor,NA,B_25_A,B,25,A,IH,6,5,IH_6_5
382,311,3,1,2023-TM2-fruit,2023-TM2-fruit,NA,B_37_A,B,37,A,TM2,1,16,TM2_1_16
402,321,3,1,2023-survivor,2023-survivor,NA,B_42_A,B,42,A,BH,2,5,BH_2_5
406,323,3,1,2023-survivor,2023-survivor,NA,B_43_A,B,43,A,BH,5,5,BH_5_5
458,349,3,1,2023-survivor,2023-survivor,NA,B_56_A,B,56,A,SC,6,15,SC_6_15
462,351,3,1,2023-survivor,2023-survivor,NA,B_57_A,B,57,A,IH,4,4,IH_4_4
312,396,4,2,2023-survivor,2023-survivor,NA,B_19_D,B,19,D,CC,2,6,CC_2_6
339,409,4,2,2023-survivor,2023-survivor,NA,B_26_C,B,26,C,IH,5,5,IH_5_5
347,413,4,2,2023-survivor,2023-survivor,NA,B_28_C,B,28,C,BH,4,5,BH_4_5
380,430,4,2,2023-TM2-fruit,2023-TM2-fruit,NA,B_36_D,B,36,D,TM2,1,4,TM2_1_4
408,444,4,2,2023-TM2-fruit,2023-TM2-fruit,NA,B_43_D,B,43,D,TM2,7,10,TM2_7_10
415,447,4,2,2023-survivor,2023-survivor,NA,B_45_C,B,45,C,WL2,1,11,WL2_1_11
423,451,4,2,2023-survivor,2023-survivor,NA,B_47_C,B,47,C,YO7,4,6,YO7_4_6
459,469,4,2,2023-survivor,2023-survivor,NA,B_56_C,B,56,C,TM2,1,3,TM2_1_3
464,472,4,2,2023-survivor,2023-survivor,NA,B_57_D,B,57,D,BH,2,4,BH_2_4
685,479,5,1,,buffer,A,C_1_A,C,1,A,,,,buffer
686,480,5,1,,buffer,A,C_1_B,C,1,B,,,,buffer
687,481,5,1,,buffer,A,C_2_A,C,2,A,,,,buffer
688,482,5,1,,buffer,A,C_2_B,C,2,B,,,,buffer
689,483,5,1,,buffer,A,C_3_A,C,3,A,,,,buffer
690,484,5,1,,buffer,A,C_3_B,C,3,B,,,,buffer
490,485,5,1,F2,available,A,C_4_A,C,4,A,(WV x WL2) x (WV),,13,280
491,486,5,1,F2,available,A,C_4_B,C,4,B,(LV1 x WL2) x (TM2 x WL2),,7,949
492,487,5,1,Parent,available,A,C_5_A,C,5,A,TM2,,70,540
493,488,5,1,F2,available,A,C_5_B,C,5,B,(TM2 x WL2) x (SQ3 x WL2),,13,317
695,489,5,1,2023-survivor,2023-survivor,NA,C_6_A,C,6,A,CC,1,6,CC_1_6
494,490,5,1,F2,available,A,C_6_B,C,6,B,(WL2 x BH) x (SQ3 x WL2),,14,1175
495,491,5,1,F2,available,A,C_7_A,C,7,A,(TM2 x WL2) x (TM2 x WL2),,10,1091
496,492,5,1,F2,available,A,C_7_B,C,7,B,(LV1 x WL2) x (WL2 x DPR),,13,968
497,493,5,1,F2,available,A,C_8_A,C,8,A,(WL1 x WL2) x (BH x WL2),,2,333
498,494,5,1,F2,available,A,C_8_B,C,8,B,(TM2 x WL2) x (YO11 x WL2),,2,374
499,495,5,1,Parent,available,A,C_9_B,C,9,B,TM2,,51,521
500,496,5,1,Parent,available,A,C_10_A,C,10,A,BH,,6,392
501,497,5,1,F2,available,A,C_10_B,C,10,B,(WL1 x WL2) x (WL2 x TM2),,15,1160
502,498,5,1,Parent,available,A,C_11_A,C,11,A,TM2,,9,479
503,499,5,1,F2,available,A,C_11_B,C,11,B,(WL2 x TM2) x (CC x TM2),,13,264
504,500,5,1,F1,available,A,C_12_A,C,12,A,WV x TM2,,7,199
505,501,5,1,F2,available,A,C_12_B,C,12,B,(WL2 x DPR) x (WL2),,5,1102
506,502,5,1,F2,available,A,C_13_A,C,13,A,(TM2 x WL2) x (TM2),,2,344
507,503,5,1,F2,available,A,C_13_B,C,13,B,(SQ3 x WL2) x (YO11 x WL2),,12,1511
508,504,5,1,Parent,available,A,C_14_A,C,14,A,WL2,,3,98
509,505,5,1,F2,available,A,C_14_B,C,14,B,(SQ3 x WL2) x (SQ3 x WL2),,4,868
510,506,5,1,Parent,available,A,C_15_A,C,15,A,WL2,,30,125
511,507,5,1,F2,available,A,C_15_B,C,15,B,(YO11 x WL2) x (SQ3 x WL2),,6,1007
512,508,5,1,F2,available,A,C_16_A,C,16,A,(WL1 x WL2) x (WL2 x CC),,6,1119
513,509,5,1,Parent,available,A,C_16_B,C,16,B,WL2,,94,189
514,510,5,1,F2,available,A,C_17_A,C,17,A,(LV1 x WL2) x (WL2),,8,71
515,511,5,1,Parent,available,A,C_17_B,C,17,B,TM2,,37,507
