Plant Type,pop.id,mf,rep,rack,unique.ID,bed,block,row,column
Main_Parent,TM2-1,1,1,1,1,E,E2,45,C
Main_Parent,TM2-1,1,2,1,2,D,D1,14,A
Main_Parent,TM2-1,1,3,1,3,A,A2,35,D
Main_Parent,TM2-1,1,4,1,4,C,C2,35,A
Main_Parent,TM2-1,1,5,1,5,F,F1,2,D
Main_Parent,TM2-1,1,6,1,6,A,A1,8,C
Main_Parent,TM2-1,1,7,1,7,B,B1,22,B
Main_Parent,TM2-1,1,8,1,8,B,B2,42,D
Main_Parent,TM2-1,1,10,1,10,E,E1,10,C
Main_Parent,TM2-1,1,11,1,11,C,C1,6,A
Main_Parent,TM2-1,1,12,1,12,D,D2,45,C
Main_Parent,TM2-1,1,14,1,14,F,F2,42,D
Main_Parent,TM2-2,2,1,1,15,E,E2,43,D
Main_Parent,TM2-2,2,2,1,16,D,D1,18,A
Main_Parent,TM2-2,2,3,1,17,A,A2,28,D
Main_Parent,TM2-2,2,4,1,18,C,C2,38,D
Main_Parent,TM2-2,2,5,1,19,F,F1,22,D
Main_Parent,TM2-2,2,6,1,20,A,A1,18,C
Main_Parent,TM2-2,2,7,1,21,B,B1,6,C
Main_Parent,TM2-2,2,8,1,22,B,B2,32,D
Main_Parent,TM2-2,2,9,1,23,E,E1,19,A
Main_Parent,TM2-2,2,10,1,24,C,C1,16,C
Main_Parent,TM2-2,2,11,1,25,D,D2,30,B
Main_Parent,TM2-2,2,12,1,26,F,F2,26,A
Main_Parent,TM2-2,2,13,1,27,E,E2,41,B
Main_Parent,TM2-2,2,14,1,28,D,D1,16,B
Main_Parent,TM2-3,3,1,1,29,A,A2,37,D
Main_Parent,TM2-3,3,2,1,30,C,C2,25,C
Main_Parent,TM2-3,3,3,1,31,F,F1,5,D
Main_Parent,TM2-3,3,4,1,32,A,A1,17,B
Main_Parent,TM2-3,3,5,1,33,B,B1,9,A
Main_Parent,TM2-3,3,6,1,34,B,B2,35,A
Main_Parent,TM2-3,3,8,1,36,E,E1,11,C
Main_Parent,TM2-3,3,10,1,38,C,C1,22,A
Main_Parent,TM2-2,2,15,1,39,D,D2,39,C
Main_Parent,TM2-2,2,16,1,40,F,F2,25,A
Main_Parent,TM2-2,2,17,1,41,E,E2,29,C
Main_Parent,TM2-4,4,2,1,44,D,D1,4,D
Main_Parent,TM2-4,4,3,1,45,A,A2,36,D
Main_Parent,TM2-4,4,4,1,46,C,C2,45,B
Main_Parent,TM2-4,4,5,1,47,F,F1,20,C
Main_Parent,TM2-4,4,6,1,48,A,A1,19,C
Main_Parent,TM2-4,4,7,1,49,B,B1,19,B
Main_Parent,TM2-4,4,8,1,50,B,B2,25,A
Main_Parent,TM2-4,4,9,1,51,E,E1,19,D
Main_Parent,TM2-4,4,11,1,53,C,C1,8,B
Main_Parent,TM2-4,4,12,1,54,D,D2,38,A
Main_Parent,TM2-4,4,13,1,55,F,F2,34,B
Main_Parent,TM2-5,5,1,1,57,E,E2,43,A
Main_Parent,TM2-5,5,2,1,58,D,D1,13,A
Main_Parent,TM2-5,5,3,1,59,A,A2,44,B
Main_Parent,TM2-5,5,4,1,60,C,C2,40,B
Main_Parent,TM2-5,5,5,1,61,F,F1,21,C
Main_Parent,TM2-5,5,6,1,62,A,A1,5,D
Main_Parent,TM2-5,5,7,1,63,B,B1,21,D
Main_Parent,TM2-5,5,8,1,64,B,B2,29,D
Main_Parent,TM2-5,5,9,1,65,E,E1,7,B
Main_Parent,TM2-5,5,10,1,66,C,C1,2,C
Main_Parent,TM2-5,5,11,1,67,D,D2,42,A
Main_Parent,TM2-5,5,12,1,68,F,F2,26,B
Main_Parent,TM2-6,6,1,1,71,E,E2,24,B
Main_Parent,TM2-6,6,4,1,74,D,D1,11,C
Main_Parent,TM2-6,6,5,1,75,A,A2,29,D
Main_Parent,TM2-6,6,6,1,76,C,C2,40,A
Main_Parent,TM2-6,6,7,1,77,F,F1,11,C
Main_Parent,TM2-6,6,8,1,78,A,A1,18,B
Main_Parent,TM2-6,6,9,1,79,B,B1,2,D
Main_Parent,TM2-6,6,10,1,80,B,B2,26,B
