bed,row,col,unique.ID,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
A,1,A,buffer,,,,
A,1,B,buffer,,,,
A,2,A,551,94.8,3.9,N,
A,2,B,444,,,,
A,3,A,1315,,,,
A,3,B,1252,116.3,5.7,Y,
A,4,A,107,13.3,1.4,Y,
A,4,B,270,9.1,7,Y,
A,5,A,765,42,2.1,N,
A,5,B,472,32.2,3.5,N,
A,6,A,1344,,,,
A,6,B,1035,3.8,2.4,N,
A,7,A,622,76,3.1,N,
A,7,B,119,4.2,1.6,N,
A,8,A,658,84.6,2.3,N,
A,8,B,684,,,,
A,9,A,283,,,,
A,9,B,516,13.6,2.7,Y,
A,10,A,131,30.4,0.9,Y,
A,10,B,864,,,,
A,11,A,643,68.3,4.4,Y,
A,11,B,191,,,,
A,12,A,720,62.2,2.8,Y,
A,12,B,535,7.3,1.4,N,
A,13,A,1267,52,NA,NA,no leaves
A,13,B,1228,89.8,3.1,Y,
A,14,A,1023,,,,
A,14,B,1095,6.4,3.3,N,
A,15,A,1367,89.2,3.3,Y,
A,15,B,344,,,,
A,16,A,95,46.7,2,N,
A,16,B,380,6,2.3,N,
A,17,A,2002,56.2,3.4,N,
A,17,B,32,68.5,2.1,N,
A,18,A,1060,31.1,2,N,
A,18,B,78,54.3,3.7,N,
A,19,A,167,,,,
A,19,B,257,45.6,2.5,N,
A,20,A,849,,,,
A,20,B,489,91.9,4,Y,
A,21,A,403,92.7,3.5,N,
A,21,B,915,22.1,3.1,Y,
A,22,A,1293,16.5,1,N,
A,22,B,227,52.9,3.2,Y,
A,23,A,buffer,,,,
A,23,B,356,,,,
A,24,A,679,,,,
A,24,B,buffer,,,,
A,25,A,820,14.2,2.2,Y,
A,25,B,89,85,4.7,Y,
A,26,A,561,106.1,6.2,Y,
A,26,B,1377,139.4,4.6,N,
A,27,A,251,57.5,2.3,Y,
A,27,B,152,,,,
A,28,A,846,,,,
A,28,B,1389,28.3,5.4,Y,
A,29,A,729,62.6,3.2,Y,
A,29,B,619,100.8,4.8,N,
A,30,A,1364,77.4,4.4,N,
A,30,B,600,,,,
A,31,A,486,33,1.8,N,
A,31,B,1020,4.3,2.8,N,
A,32,A,1213,113.1,3.7,N,
A,32,B,1150,,,,
A,33,A,1225,87,3.3,N,
A,33,B,532,,,,
A,34,A,717,50.2,3,N,
A,34,B,441,81.3,2.5,N,
A,35,A,429,70.8,3.6,N,
A,35,B,304,,,,
A,36,A,513,49.8,3,N,
A,36,B,1080,11.8,3,N,
A,37,A,743,59.8,4.1,N,
A,37,B,544,,,,
A,38,A,1337,12.3,7.3,Y,
A,38,B,369,23.5,5.6,Y,
A,39,A,1290,21.8,NA,NA,leaves dying
A,39,B,498,75.1,2.4,N,
A,40,A,1278,33.8,1.8,Y,
A,40,B,353,,,,
A,41,A,279,6.5,4.7,N,
A,41,B,176,,,,
A,42,A,1068,,,,
A,42,B,655,94,3.1,N,
A,43,A,996,77,4.5,N,
A,43,B,899,4,2,N,
A,44,A,140,,,,
A,44,B,59,85,3.6,Y,
A,45,A,212,38.1,6.8,Y,
A,45,B,1196,49.6,5.1,Y,
A,46,A,buffer,,,,
A,46,B,buffer,,,,
A,1,C,buffer,,,,
A,1,D,buffer,,,,
