date,Bed,Position,TDR
7/3/24,A,top,0
7/3/24,A,middle,0
7/3/24,A,end,3.3
7/3/24,B,top,0
7/3/24,B,middle,0
7/3/24,B,end,0
7/3/24,C,top,0
7/3/24,C,middle,0
7/3/24,C,end,0
7/9/24,A,top,0
7/9/24,A,middle,0
7/9/24,A,end,1.1
7/9/24,B,top,0
7/9/24,B,middle,0
7/9/24,B,end,0
7/9/24,C,top,0
7/9/24,C,middle,0
7/9/24,C,end,0
7/16/24,A,top,1.5
7/16/24,A,middle,1.5
7/16/24,A,end,2.2
7/16/24,B,top,7.8
7/16/24,B,middle,2.2
7/16/24,B,end,2.2
7/16/24,C,top,2.2
7/16/24,C,middle,2.4
7/16/24,C,end,1.5
7/23/24,A,top,0
7/23/24,A,middle,0
7/23/24,A,end,0
7/23/24,B,top,0
7/23/24,B,middle,0
7/23/24,B,end,0
7/23/24,C,top,0
7/23/24,C,middle,0
7/23/24,C,end,0
7/30/24,A,top,0
7/30/24,A,middle,0
7/30/24,A,end,0
7/30/24,B,top,0
7/30/24,B,middle,0
7/30/24,B,end,0
7/30/24,C,top,0
7/30/24,C,middle,0
7/30/24,C,end,0
8/6/24,A,top,0
8/6/24,A,middle,0
8/6/24,A,end,0
8/6/24,B,top,0
8/6/24,B,middle,0
8/6/24,B,end,0
8/6/24,C,top,0
8/6/24,C,middle,0
8/6/24,C,end,0
8/20/24,A,top,NA
8/20/24,A,middle,0
8/20/24,A,end,NA
8/20/24,B,top,NA
8/20/24,B,middle,NA
8/20/24,B,end,NA
8/20/24,C,top,NA
8/20/24,C,middle,NA
8/20/24,C,end,NA
8/27/24,A,top,NA
8/27/24,A,middle,3.3
8/27/24,A,end,NA
8/27/24,B,top,NA
8/27/24,B,middle,NA
8/27/24,B,end,NA
8/27/24,C,top,NA
8/27/24,C,middle,NA
8/27/24,C,end,NA
9/3/24,A,top,0
9/3/24,A,middle,0
9/3/24,A,end,0
9/3/24,B,top,1.8
9/3/24,B,middle,0
9/3/24,B,end,0
9/3/24,C,top,1.5
9/3/24,C,middle,1.5
9/3/24,C,end,0
9/10/24,A,top,0
9/10/24,A,middle,0
9/10/24,A,end,1.1
9/10/24,B,top,1.1
9/10/24,B,middle,0
9/10/24,B,end,0
9/10/24,C,top,1.8
9/10/24,C,middle,0
9/10/24,C,end,0
9/17/24,A,top,0
9/17/24,A,middle,0
9/17/24,A,end,0
9/17/24,B,top,1.5
9/17/24,B,middle,0
9/17/24,B,end,0.5
9/17/24,C,top,0
9/17/24,C,middle,0
9/17/24,C,end,0
9/24/24,A,top,0
9/24/24,A,middle,0
9/24/24,A,end,1.1
9/24/24,B,top,1.1
9/24/24,B,middle,3.6
9/24/24,B,end,0
9/24/24,C,top,2.2
9/24/24,C,middle,2.9
9/24/24,C,end,2.2
10/2/24,A,top,0
10/2/24,A,middle,0
10/2/24,A,end,0
10/2/24,B,top,0
10/2/24,B,middle,2.2
10/2/24,B,end,0
10/2/24,C,top,2.2
10/2/24,C,middle,1.8
10/2/24,C,end,0
10/9/24,A,top,0
10/9/24,A,middle,0
10/9/24,A,end,0
10/9/24,B,top,0
10/9/24,B,middle,0
10/9/24,B,end,0
10/9/24,C,top,0
10/9/24,C,middle,0
10/9/24,C,end,0
10/16/24,A,top,0
10/16/24,A,middle,0
10/16/24,A,end,0
10/16/24,B,top,0
10/16/24,B,middle,1.1
10/16/24,B,end,0
10/16/24,C,top,0.9
10/16/24,C,middle,0
10/16/24,C,end,0
10/23/24,A,top,1.1
10/23/24,A,middle,1.5
10/23/24,A,end,1.8
10/23/24,B,top,2.2
10/23/24,B,middle,4.3
10/23/24,B,end,1.8
10/23/24,C,top,2.9
10/23/24,C,middle,1.8
10/23/24,C,end,0
7/2/24,D,top,0
7/2/24,D,middle,0
7/2/24,D,end,0
7/2/24,E,top,0
7/2/24,E,middle,2.2
7/2/24,E,end,0
7/2/24,F,top,0
7/2/24,F,middle,1.1
7/2/24,F,end,0
7/9/24,D,top,0
7/9/24,D,middle,0
7/9/24,D,end,1.8
7/9/24,E,top,0
7/9/24,E,middle,0
7/9/24,E,end,1.1
7/9/24,F,top,0
7/9/24,F,middle,1.1
7/9/24,F,end,1.5
7/16/24,D,top,0
7/16/24,D,middle,1.8
7/16/24,D,end,4.3
7/16/24,E,top,2.5
7/16/24,E,middle,1.8
7/16/24,E,end,2.2
7/16/24,F,top,2.2
7/16/24,F,middle,2.5
7/16/24,F,end,4
7/23/24,D,top,0
7/23/24,D,middle,0
7/23/24,D,end,0
7/23/24,E,top,0
7/23/24,E,middle,0
7/23/24,E,end,0
7/23/24,F,top,0
7/23/24,F,middle,0
7/23/24,F,end,0
7/30/24,D,top,0
7/30/24,D,middle,0
7/30/24,D,end,0
7/30/24,E,top,0
7/30/24,E,middle,0
7/30/24,E,end,0
7/30/24,F,top,0
7/30/24,F,middle,0
7/30/24,F,end,0
8/6/24,D,top,0
8/6/24,D,middle,0
8/6/24,D,end,0
8/6/24,E,top,0
8/6/24,E,middle,0
8/6/24,E,end,0
8/6/24,F,top,0
8/6/24,F,middle,0
8/6/24,F,end,0
8/20/24,D,top,NA
8/20/24,D,middle,NA
8/20/24,D,end,NA
8/20/24,E,top,NA
8/20/24,E,middle,NA
8/20/24,E,end,0
8/20/24,F,top,NA
8/20/24,F,middle,NA
8/20/24,F,end,NA
8/27/24,D,top,NA
8/27/24,D,middle,NA
8/27/24,D,end,NA
8/27/24,E,top,NA
8/27/24,E,middle,NA
8/27/24,E,end,4.7
8/27/24,F,top,NA
8/27/24,F,middle,NA
8/27/24,F,end,NA
9/3/24,D,top,2.2
9/3/24,D,middle,1.1
9/3/24,D,end,0
9/3/24,E,top,2.5
9/3/24,E,middle,0
9/3/24,E,end,0
9/3/24,F,top,1.1
9/3/24,F,middle,0
9/3/24,F,end,0
9/10/24,D,top,1.1
9/10/24,D,middle,0
9/10/24,D,end,0
9/10/24,E,top,1.5
9/10/24,E,middle,0
9/10/24,E,end,1.1
9/10/24,F,top,0
9/10/24,F,middle,0
9/10/24,F,end,0
9/17/24,D,top,0
9/17/24,D,middle,1.5
9/17/24,D,end,0
9/17/24,E,top,0
9/17/24,E,middle,0
9/17/24,E,end,0
9/17/24,F,top,0
9/17/24,F,middle,0
