bed ,row ,col ,unique.ID ,phen ,diam.mm ,num.flw ,num.fruit ,long.fruit.cm ,total.branch ,overhd.diam ,overhd.perp ,survey.date ,collected.date ,survey.notes
A ,1,A ,TM2_6_11 ,,,,,,,,,,,TM2 fruiting from 2023
A ,6,B ,CC_3_3 ,,,,,,,,,,,
A ,16,B ,BH_3_3 ,,,,,,,,,,,6/18/24 No tag 
A ,17,A ,BH_7_3 ,P ,4.98,0,40,8.5,1,,,8/20/24,8/27/24,
A ,18,A ,BH_4_3 ,,,,,,,,,,,6/18/24 No tag 
A ,24,A ,WL2_7_9 ,P ,2.34,0,6,2.8,1,,,8/27/24,8/27/24,
A ,32,B ,IH_7_4 ,P ,4.3,0,7,9,1,,,8/27/24,9/3/24,8/20 tape
A ,35,A ,SC_8_4 ,P ,6.69,0,21,11.7,1,,,8/27/24,9/17/24,8/20 tape
A ,36,A ,BH_3_4 ,P ,5.34,0,62,7,1,,,8/27/24,9/17/24,8/20 tape
A ,39,B ,WL2_7_10 ,P ,3.42,0,59,3.9,1,,,9/3/24,9/10/24,8/20 tape
A ,43,A ,TM2_6_1 ,,,,,,,,,,,TM2 fruiting from 2023
A ,45,B ,IH_2_4 ,P ,5.47,0,26,11.4,1,,,9/10/24,10/2/24,8/20 tape
A ,49,A ,YO7_7_23 ,P,2.19,0,75,2.5,2,,,7/30/24,8/13/24,8/13 dehiscing/harvested 10 fruit not dehiscing
A ,53,A ,CC_4_4 ,P,3.76,0,34,4.5,1,,,8/27/24,9/10/24,
A ,53,B ,BH_7_4 ,P,5.21,8,42,8.5,1,49,20.8,8/13/24,9/3/24,8/13 taped 10 fruit 
A ,56,B ,TM2_2_12 ,,,,,,,,,,,TM2 fruiting 
A ,14,D ,CC_8_3 ,,,,,,,,,,,6/25/24 snapped off 7/12 resprouting 
A ,15,C ,CC_1_3 ,P ,4.56,0,15,3.2,1,,,9/24/24,10/23/24,partial harvest n=8 10/23: 6 Green fruit 
A ,17,D ,BH_2_3 ,P ,5.75,0,41,7.7,1,,,9/10/24,8/27/24,8/27 10 fruit harvested; changed fruit number from 31 to 41 to account for those harvested fruits; 10/23 late branch has 4 green fruit
A ,22,D ,SC_8_3 ,P ,5.4,0,24,6.5,1,27.2,26.5,9/17/24,10/23/24,10/23 3 green fruit 7/16 some buds dying 
A ,23,D ,TM2_3_3 ,,,,,,,,,,,TM2 fruiting from 2023 
A ,36,C ,SC_2_4 ,P ,7.59,0,19,9,1,,,8/6/24,9/3/24,8/13 taped 10 fruit from 2023 /3 small 
A ,44,C ,TM2_6_3 ,,,,,,,,,,,TM2 fruiting rosettes nearby 
A ,45,D ,SC_4_4 ,P ,7.82,0,28,7.9,1,46.5,26,8/13/24,9/3/24,8/13 tipped over/taped 10 fruit deformed 
A ,46,D ,SQ1_5_10 ,P ,3.58,0,2,4,1,,,9/10/24,9/17/24,7/16 sone buds look or damaged 
A ,50,D ,IH_6_4 ,P ,4.55,0,18,9.7,1,,,8/27/24,9/17/24,buds look deformed or 
A ,56,C ,IH_1_4 ,P ,3.28,0,10,6.7,1,,,8/27/24,9/17/24,7/16 some damaged 8/20 tape 
A ,58,D ,YO7_7_13 ,P ,5.3,0,25,2,2,12,10.5,8/13/24,8/27/24,8/13 some dehiscing 
B ,22,A ,IH_3_5 ,P ,4.87,0,49,4.2,1,43.5,17.2,10/16/24,10/23/24,10/16 buds and flowers failing
B ,25,A ,IH_6_5 ,P ,3.49,0,16,4.2,1,29.6,15.5,10/23/24,10/2/24,8/20 tape; 10/2 harvested 2 fruit; h=38.9
B ,37,A ,TM2_1_16 ,,,,,,,,,,,TM2 fruiting from 2023 
B ,42,A ,BH_2_5 ,P ,7.62,0,53,9.3,1,47,46,8/13/24,9/3/24,7/30 buds dying 
B ,43,A ,BH_5_5 ,P ,5.13,0,61,11.1,1,48.5,25.5,8/13/24,8/27/24,tipped over marked as budding without date 
B ,56,A ,SC_6_15 ,P ,8.65,0,64,9.6,1,,,8/27/24,9/3/24,8/20 tape 
B ,57,A ,IH_4_4 ,,,,,,,,,,,
B ,19,D ,CC_2_6 ,P ,3.88,0,33,3.7,1,,,9/10/24,9/24/24,6/25/24 some buds being eaten 
B ,26,C ,IH_5_5 ,,,,,,,,,,,
B ,28,C ,BH_4_5 ,P ,4.2,0,26,4.3,1,,,9/10/24,8/27/24,8/20 tape; 8/27 9 fruit harvested - 1 green fruit included; changed fruit number from 17 to 26 to include harvested fruit
B ,36,D ,TM2_1_4 ,,,,,,,,,,,TM2 fruiting from 2023 
B ,43,D ,TM2_7_10 ,,,,,,,,,,,TM2 fruiting from 2023 
B ,45,C ,WL2_1_11 ,P ,2.08,0,39,3.1,1,,,9/3/24,9/3/24,
B ,47,C ,YO7_4_6 ,P ,3.36,0,80,2.5,1,9.1,8.8,8/13/24,8/27/24,
B ,56,C ,TM2_1_3 ,P ,5.14,0,125,6.4,1,,,8/20/24,9/17/24,8/20 tape 
B ,57,D ,BH_2_4 ,P ,4.35,0,24,9.6,1,20.4,8.4,8/13/24,8/27/24,6/18/24 No tag 7/30 buds dying 8/20 tape 
C ,1,A ,buffer ,,,,,,,,,,,
C ,1,B ,buffer ,,,,,,,,,,,
C ,2,A ,buffer ,,,,,,,,,,,
C ,2,B ,buffer ,,,,,,,,,,,
C ,3,A ,buffer ,,,,,,,,,,,
C ,3,B ,buffer ,,,,,,,,,,,
C ,4,A ,280,,,,,,,,,,,6/25/24 wilting 
C ,4,B ,949,,,,,,,,,,,7/9/24 wilting 
C ,5,A ,540,,,,,,,,,,,6/18/24 wilting 
C ,5,B ,317,V ,1.21,,,,1,1.9,1.7,10/23/24,,h= 4.1 
C ,6,A ,CC_1_6 ,,,,,,,,,,,7/2/24 dying 
C ,6,B ,1175,,,,,,,,,,,7/16 red pick/ no date assumed 7/9 
C ,7,A ,1091,,,,,,,,,,,
C ,7,B ,968,,,,,,,,,,,6/25/24 wilting 
C ,8,A ,333,,,,,,,,,,,
C ,8,B ,374,,,,,,,,,,,6/25/24 wilting 
C ,9,B ,521,,,,,,,,,,,
C ,10,A ,392,,,,,,,,,,,7/2/24 dying 
C ,10,B ,1160,,,,,,,,,,,6/25/24 wilting 
C ,11,A ,479,,,,,,,,,,,6/18/24 wilting 
C ,11,B ,264,,,,,,,,,,,6/25/24 wilting 
C ,12,A ,199,,,,,,,,,,,6/18/24 wilting 
C ,12,B ,1102,,,,,,,,,,,6/25/24 wilting 
C ,13,A ,344,,,,,,,,,,,6/18/24 top of stem wilting 
C ,13,B ,1511,,,,,,,,,,,
C ,14,A ,98,,,,,,,,,,,
C ,14,B ,868,,,,,,,,,,,
C ,15,A ,125,,,,,,,,,,,6/25/24 wilting 
C ,15,B ,1007,,,,,,,,,,,
C ,16,A ,1119,,,,,,,,,,,
C ,16,B ,189,,,,,,,,,,,
C ,17,A ,71,,,,,,,,,,,7/9 wilted 
C ,17,B ,507,,,,,,,,,,,6/25/24 wilting 
C ,18,A ,1336,,,,,,,,,,,7/9 wilted 
C ,18,B ,980,,,,,,,,,,,
C ,19,A ,NA ,,,,,,,,,,,
C ,19,B ,NA ,,,,,,,,,,,
C ,20,A ,413,,,,,,,,,,,6/25/24 odd white lines on leaves 
C ,20,B ,698,V ,1.92,0,0,NA ,1,4.1,3.4,10/23/24,,h= 5.2 
C ,21,A ,215,,,,,,,,,,,6/18/24 Powdery mildew 
C ,21,B ,407,V ,2.05,0,0,NA ,1,8,2.6,10/23/24,,h=7.5
C ,22,A ,532,,,,,,,,,,,
C ,22,B ,BH_6_7 ,P,3.55,0,11,7.3,1,,,8/20/24,8/27/24,7/16 some fruits look sick 8/20 tape 
C ,23,A ,469,,,,,,,,,,,
C ,23,B ,118,V ,1.27,0,0,NA ,1,2.9,2,10/23/24,,h=5.3 
C ,24,A ,281,V ,1.77,0,0,NA ,1,3.8,2.5,10/23/24,,h=6.4 
C ,24,B ,1459,V ,1.48,0,0,NA ,1,4.1,3.6,10/23/24,,h=4.4 
C ,25,A ,1275,,,,,,,,,,,
C ,25,B ,72,,,,,,,,,,,wilted 7/9 
C ,26,A ,494,,,,,,,,,,,
C,26,B ,154,,,,,,,,,,,
C ,27,A ,1398,,,,,,,,,,,
C ,27,B ,200,V ,1.29,0,0,NA ,1,3.9,2.3,10/23/24,,h=3.8 
C ,28,A ,480,,,,,,,,,,,Stem snapped still turgid 
C ,28,B ,347,,,,,,,,,,,
C ,29,A ,17,,,,,,,,,,,
