bed,row,col,Unique.ID,phen,total.branch,diam.mm,num.flw,num.fruit,long.fruit.cm,survey.date,collected.date,survey.notes,
C,1,A,buffer,,,,,,,,,,
C,1,B,buffer,,,,,,,,,,
C,2,A,buffer,,,,,,,,,,
C,2,B,buffer,,,,,,,,,,
C,3,A,buffer,,,,,,,,,,
C,3,B,buffer,,,,,,,,,,
C,4,A,2566,,,,,,,,,,
C,4,B,2595,,,,,,,,,,
C,5,A,2642,,,,,,,,,,
C,5,B,buffer,,,,,,,,,,
C,6,A,2509,,,,,,,,,,
C,6,B,2549,,,,,,,,,,
C,7,A,2452,,,,,,,,,,
C,7,B,2095,,,,,,,,,,
C,8,A,2291,,,,,,,,,,
C,8,B,2252,,,,,,,,,,
C,9,A,NA,,,,,,,,,,
C,9,B,2634,,,,,,,,,,
C,10,A,2466,,,,,,,,,,
C,10,B,2302,,,,,,,,,,
C,11,A,2338,,,,,,,,,,
C,11,B,2605,,,,,,,,,,
C,12,A,2326,,,,,,,,,,
C,12,B,1819,,,,,,,,,,
C,13,A,2520,,,,,,,,,,
C,13,B,2591,,,,,,,,,,
c,14,A,2150,,,,,,,,,,
C,14,B,1915,,,,,,,,,,
C,15,A,2472,,,,,,,,,,
C,15,B,1981,,,,,,,,,,
C,16,A,2023,,,,,,,,,,
C,16,B,1908,,,,,,,,,,
C,17,A,1787,,,,,,,,,,
C,17,B,2274,,,,,,,,,,
c,18,A,2090,,,,,,,,,,
C,18,B,1883,,,,,,,,,,
C,19,A,2063,,,,,,,,,,
C,19,B,2236,,,,,,,,,,
C,20,A,2592,,,,,,,,,,
C,20,B,2213,,,,,,,,,,
C,21,A,2370,,,,,,,,,,
C,21,B,698,P,1,2.89,0,30,6.7,8/7/25,8/7/25,8/7 collected 8 fruits. 8/14 collected 2 fruits,
C,22,A,2638,,,,,,,,,,
C,22,B,buffer,,,,,,,,,,
C,23,A,2489,,,,,,,,,,
C,23,B,2564,,,,,,,,,,
C,24,A,buffer,,,,,,,,,,
C,24,B,118,P,1,1.78,0,27,5.2,8/7/25,8/14/25,8/14 collected 10 frts,
C,25,A,2505,,,,,,,,,,
C,25,B,1459,P,1,3.1,0,24,5.5,8/14/25,8/14/25. 8/28/25,8/14 collected 3 frts. 8/28 10 fruits col. ,
C,26,A,2602,,,,,,,,,,
C,26,B,2284,,,,,,,,,,
C,27,A,2323,,,,,,,,,,
C,27,B,buffer,,,,,,,,,,
C,28,A,2478,,,,,,,,,,
C,28,B,2557,P,1,1.72,0,1,6.1,8/14/25,9/4/25,collected 1 fruit,
C,29,A,1780,,,,,,,,,,
C,29,B,2454,,,,,,,,,,
C,30,A,NA,,,,,,,,,,
C,30,B,341,P,1,3.4,0,20,5.1,9/11/25,9/11/25,9/11 collecled 10 fruits,
C,31,A,1228,P,1,2.38,0,25,6.5,8/7/25,8/14/25,8/14 collected 3 frts. 8/21 collected 7 frts,
C,31,B,2442,,,,,,,,,,
C,32,A,939,,,,,,,,,,
C,32,B,1700,,,,,,,,,,
C,33,A,2523,,,,,,,,,,
C,33,B,183,P,1,1.81,0,1,0.9,7/18/25,NA,8/14 frt missing,
C,34,A,1745,,,,,,,,,,
C,34,B,2467,,,,,,,,,,
C,35,A,2396,,,,,,,,,,
C,35,B,2427,,,,,,,,,,
C,36,A,1905,,,,,,,,,,
