block ,bed ,row ,col ,unique.ID ,height.cm ,overhd.diam ,overhd.perp ,herbiv.y.n ,survey.notes 
NA ,A ,1,A ,TM2_6_11 ,,,,,TM2 fruiting from 2023 
NA ,A ,6,B ,CC_3_3 ,,,,,
NA ,A ,16,B ,BH_3_3 ,,,,,6/18/24 No tag 
NA ,A ,17,A ,BH_7_3 ,NA ,NA ,NA ,NA ,censused
NA ,A ,18,A ,BH_4_3 ,,,,,6/18/24 No tag /missed FL date 
NA ,A ,24,A ,WL2_7_9 ,NA ,NA ,NA ,NA ,rest FR 8/27 censused 
NA ,A ,32,B ,IH_7_4 ,NA ,NA ,NA ,NA ,8/20 tape fruit 8/27 stems with buds dead ensused 
NA ,A ,35,A ,SC_8_4 ,NA ,NA ,NA ,NA ,8/20 aphids censused 
NA ,A ,36,A ,BH_3_4 ,NA ,NA ,NA ,NA ,8/20 tape fruit censused 
NA ,A ,39,B ,WL2_7_10 ,NA ,NA ,NA ,NA ,8/20 tape fruit censused 
NA ,A ,43,A ,TM2_6_1 ,,,,,TM2 fruiting from 2023 
NA ,A ,45,B ,IH_2_4 ,NA ,NA ,NA ,NA ,censused 
NA ,A ,49,A ,YO7_7_23 ,,,,,fruit drying 8/6/24 / dehissing 8/13/24 
NA ,A ,53,A ,CC_4_4 ,NA ,NA ,NA ,NA ,censused 
NA ,A ,53,B ,BH_7_4 ,NA ,NA ,NA ,NA ,censused
NA ,A ,56,B ,TM2_2_12 ,,,,,TM2 fruiting from 2023 
NA ,A ,14,D ,CC_8_3 ,,,,,6/25/24 snapped off 7/12/24 resprouting 
NA ,A ,15,C ,CC_1_3 ,48.9,34.8,14.7,N ,
NA ,A ,17,D ,BH_2_3 ,NA ,NA ,NA ,NA ,8/27 main stem at last FR but sidd stem still active censused 
NA ,A ,22,D ,SC_8_3 ,NA ,NA ,NA ,NA ,7/16 some buds dying censused 
NA ,A ,23,D ,TM2_3_3 ,,,,,TM2 fruiting from 2023 
NA ,A ,36,C ,SC_2_4 ,NA ,NA ,NA ,NA ,7/23 no FL but still buds 8/13 all buds and flowers are gone censused 
NA ,A ,44,C ,TM2_6_3 ,,,,,TM2 fruiting from 2023 /3 small rosettes nearby 
NA ,A ,45,D ,SC_4_4 ,NA ,NA ,NA ,NA ,censused 
NA ,A ,46,D ,SQ1_5_10 ,NA ,NA ,NA ,NA ,7/16 some buds look deformed ususal damaged 7/30 spider nest on leaf 
NA ,A ,50,D ,IH_6_4 ,NA ,NA ,NA ,NA ,censused 
NA ,A ,56,C ,IH_1_4 ,NA ,NA ,NA ,NA ,7/16 some buds look deformed or damaged 8/20 tape censused 
