bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,survey.notes,survey.date
C,1,A,buffer,,,,,,9/24/25
C,1,B,buffer,,,,,,9/24/25
C,2,A,buffer,,,,,,9/24/25
C,2,B,buffer,,,,,,9/24/25
C,3,A,buffer,,,,,,9/24/25
C,3,B,buffer,,,,,,9/24/25
C,4,A,2566,,,,,,9/24/25
C,4,B,2595,,,,,,9/24/25
C,5,A,2642,,,,,,9/24/25
C,5,B,buffer,,,,,,9/24/25
C,6,A,2509,,,,,,9/24/25
C,6,B,2549,5.3,7.3,4.4,1,,9/24/25
C,7,A,2452,,,,,,9/24/25
C,7,B,2095,3,5.3,3.4,2,,9/24/25
C,8,A,2291,10.7,7.4,5.8,1,,9/24/25
C,8,B,2252,9.6,8.9,8.4,1,,9/24/25
C,9,A,NA,,,,,,9/24/25
C,9,B,2634,18.2,6.3,5.8,1,,9/24/25
C,10,A,2466,,,,,,9/24/25
C,10,B,2302,NA,NA,NA,NA,dead,9/24/25
C,11,A,2338,,,,,,9/24/25
C,11,B,2605,,,,,dead at planting,9/24/25
C,12,A,2326,6.7,6.1,5.4,1,,9/24/25
C,12,B,1819,4.6,6,5.3,1,,9/24/25
C,13,A,2520,,,,,,9/24/25
C,13,B,2591,9.7,6.7,5.8,1,,9/24/25
C,14,A,2150,,,,,,9/24/25
C,14,B,1915,,,,,,9/24/25
C,15,A,2472,7.4,5.4,5.3,1,,9/24/25
C,15,B,1981,5.1,4.7,4.2,1,,9/24/25
C,16,A,2023,,,,,,9/24/25
C,16,B,1908,,,,,,9/24/25
C,17,A,1787,,,,,,9/24/25
C,17,B,2274,,,,,,9/24/25
C,18,A,2090,,,,,,9/24/25
C,18,B,1883,6.5,6.4,4.5,0,,9/24/25
C,19,A,2063,6.3,5.1,4.7,1,,9/24/25
C,19,B,2236,11,6.4,5.7,1,,9/24/25
C,20,A,2592,NA,NA,NA,NA,dead,9/24/25
C,20,B,2213,9.8,7.6,6.5,2,,9/24/25
C,21,A,2370,5.4,5.4,4.9,1,,9/24/25
C,21,B,698,NA,NA,NA,NA,dead,9/24/25
C,22,A,2638,11.3,5.1,4.2,1,,9/24/25
C,22,B,buffer,,,,,,9/24/25
C,23,A,2489,8.6,5,3.2,1,,9/24/25
C,23,B,2564,4.3,4.8,4.2,1,,9/24/25
C,24,A,buffer,,,,,,9/24/25
C,24,B,118,NA,NA,NA,NA,dead,9/24/25
C,25,A,2505,8.5,5.5,5.4,1,,9/24/25
C,25,B,1459,NA,NA,NA,NA,dead,9/24/25
C,26,A,2602,6,4.9,4.2,1,,9/24/25
C,26,B,2284,14.8,6.9,6.8,2,,9/24/25
C,27,A,2323,5.2,7.5,6,1,,9/24/25
C,27,B,buffer,,,,,,9/24/25
C,28,A,2478,NA,NA,NA,NA,buried/dead,9/24/25
C,28,B,2557,2.3,NA,NA,NA,stem only,9/24/25
C,29,A,1780,NA,NA,NA,NA,dead,9/24/25
C,29,B,2454,,,,,,9/24/25
C,30,A,NA,,,,,,9/24/25
C,30,B,341,NA,NA,NA,NA,dead,9/24/25
C,31,A,1228,NA,NA,NA,NA,dead,9/24/25
C,31,B,2442,6.6,4.3,3.2,1,,9/24/25
C,32,A,939,,,,,,9/24/25
C,32,B,1700,4.5,7.8,6.4,1,,9/24/25
C,33,A,2523,7.6,5.5,5.3,1,,9/24/25
C,33,B,183,4.6,1.9,1.2,0,,9/24/25
C,34,A,1745,12.7,5.4,3.7,1,,9/24/25
C,34,B,2467,,,,,,9/24/25
C,35,A,2396,,,,,,9/24/25
C,35,B,2427,,,,,,9/24/25
