"","date","Bed","Position","TDR"
"1","7/3/24","A","top",0
"2","7/3/24","A","middle",0
"3","7/3/24","A","end",3.3
"4","7/3/24","B","top",0
"5","7/3/24","B","middle",0
"6","7/3/24","B","end",0
"7","7/3/24","C","top",0
"8","7/3/24","C","middle",0
"9","7/3/24","C","end",0
"10","7/9/24","A","top",0
"11","7/9/24","A","middle",0
"12","7/9/24","A","end",1.1
"13","7/9/24","B","top",0
"14","7/9/24","B","middle",0
"15","7/9/24","B","end",0
"16","7/9/24","C","top",0
"17","7/9/24","C","middle",0
"18","7/9/24","C","end",0
"19","7/16/24","A","top",1.5
"20","7/16/24","A","middle",1.5
"21","7/16/24","A","end",2.2
"22","7/16/24","B","top",7.8
"23","7/16/24","B","middle",2.2
"24","7/16/24","B","end",2.2
"25","7/16/24","C","top",2.2
"26","7/16/24","C","middle",2.4
"27","7/16/24","C","end",1.5
"28","7/23/24","A","top",0
"29","7/23/24","A","middle",0
"30","7/23/24","A","end",0
"31","7/23/24","B","top",0
"32","7/23/24","B","middle",0
"33","7/23/24","B","end",0
"34","7/23/24","C","top",0
"35","7/23/24","C","middle",0
"36","7/23/24","C","end",0
"37","7/30/24","A","top",0
"38","7/30/24","A","middle",0
"39","7/30/24","A","end",0
"40","7/30/24","B","top",0
"41","7/30/24","B","middle",0
"42","7/30/24","B","end",0
"43","7/30/24","C","top",0
"44","7/30/24","C","middle",0
"45","7/30/24","C","end",0
"46","8/6/24","A","top",0
"47","8/6/24","A","middle",0
"48","8/6/24","A","end",0
"49","8/6/24","B","top",0
"50","8/6/24","B","middle",0
"51","8/6/24","B","end",0
"52","8/6/24","C","top",0
"53","8/6/24","C","middle",0
"54","8/6/24","C","end",0
"55","8/20/24","A","top",NA
"56","8/20/24","A","middle",0
"57","8/20/24","A","end",NA
"58","8/20/24","B","top",NA
"59","8/20/24","B","middle",NA
"60","8/20/24","B","end",NA
"61","8/20/24","C","top",NA
"62","8/20/24","C","middle",NA
"63","8/20/24","C","end",NA
"64","8/27/24","A","top",NA
"65","8/27/24","A","middle",3.3
"66","8/27/24","A","end",NA
"67","8/27/24","B","top",NA
"68","8/27/24","B","middle",NA
"69","8/27/24","B","end",NA
"70","8/27/24","C","top",NA
"71","8/27/24","C","middle",NA
"72","8/27/24","C","end",NA
"73","9/3/24","A","top",0
"74","9/3/24","A","middle",0
"75","9/3/24","A","end",0
"76","9/3/24","B","top",1.8
"77","9/3/24","B","middle",0
"78","9/3/24","B","end",0
"79","9/3/24","C","top",1.5
"80","9/3/24","C","middle",1.5
"81","9/3/24","C","end",0
"82","9/10/24","A","top",0
"83","9/10/24","A","middle",0
"84","9/10/24","A","end",1.1
"85","9/10/24","B","top",1.1
"86","9/10/24","B","middle",0
"87","9/10/24","B","end",0
"88","9/10/24","C","top",1.8
"89","9/10/24","C","middle",0
"90","9/10/24","C","end",0
"91","9/17/24","A","top",0
"92","9/17/24","A","middle",0
"93","9/17/24","A","end",0
